Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,season_end_year,season
305.0,Thomas Robinson,22.0,POR,PF,70.0,0.0,12.5,2.0,4.2,0.481,0.0,0.0,0.0,2.0,4.2,0.483,0.481,0.8,1.4,0.564,1.5,2.9,4.4,0.5,0.3,0.3,0.8,1.9,4.8,,2014,2013-14
306.0,Ronny Turiaf,31.0,MIN,C,31.0,10.0,19.5,2.1,3.5,0.598,0.0,0.0,,2.1,3.5,0.598,0.598,0.7,1.6,0.42,1.8,3.8,5.6,0.8,0.3,1.6,0.8,2.1,4.8,,2014,2013-14
307.0,Metta World Peace,34.0,NYK,SF,29.0,1.0,13.4,1.9,4.9,0.397,0.6,1.9,0.315,1.3,3.0,0.448,0.457,0.3,0.6,0.625,0.6,1.4,2.0,0.6,0.8,0.3,0.7,1.5,4.8,,2014,2013-14
308.0,Lavoy Allen,24.0,2TM,PF,65.0,2.0,16.5,2.1,4.6,0.447,0.0,0.2,0.154,2.0,4.4,0.46,0.45,0.5,0.8,0.66,1.8,3.0,4.8,1.1,0.4,0.5,0.7,1.9,4.7,,2014,2013-14
308.0,Lavoy Allen,24.0,PHI,PF,51.0,2.0,18.8,2.3,5.2,0.44,0.0,0.3,0.154,2.3,5.0,0.455,0.444,0.5,0.8,0.675,2.1,3.4,5.4,1.3,0.4,0.5,0.8,2.3,5.2,,2014,2013-14
308.0,Lavoy Allen,24.0,IND,PF,14.0,0.0,8.0,1.2,2.4,0.5,0.0,0.0,,1.2,2.4,0.5,0.5,0.4,0.7,0.6,0.9,1.5,2.4,0.4,0.1,0.4,0.3,0.8,2.9,,2014,2013-14
309.0,Matthew Dellavedova,23.0,CLE,SG,72.0,4.0,17.7,1.7,4.1,0.412,0.8,2.2,0.368,0.9,2.0,0.461,0.508,0.5,0.7,0.792,0.4,1.3,1.7,2.6,0.5,0.1,0.8,1.7,4.7,,2014,2013-14
310.0,Jannero Pargo,34.0,CHA,PG,29.0,0.0,8.3,1.8,4.1,0.441,0.8,2.1,0.4,1.0,2.0,0.483,0.542,0.3,0.4,0.727,0.0,0.7,0.7,1.8,0.5,0.0,0.9,0.6,4.7,,2014,2013-14
311.0,Kevin Séraphin,24.0,WAS,C,53.0,1.0,10.9,2.1,4.2,0.505,0.0,0.0,,2.1,4.2,0.505,0.505,0.5,0.6,0.871,1.0,1.4,2.4,0.3,0.1,0.5,0.8,1.9,4.7,,2014,2013-14
312.0,Isaiah Canaan,22.0,HOU,PG,22.0,0.0,11.5,1.4,4.0,0.356,0.8,2.5,0.327,0.6,1.5,0.406,0.46,1.0,1.3,0.724,0.3,0.8,1.1,1.0,0.4,0.2,1.0,1.1,4.6,,2014,2013-14
313.0,Jae Crowder,23.0,DAL,SF,78.0,8.0,16.1,1.7,3.8,0.439,0.6,1.9,0.331,1.0,1.9,0.552,0.524,0.6,0.8,0.754,0.6,1.9,2.5,0.8,0.8,0.3,0.5,1.3,4.6,,2014,2013-14
314.0,Charlie Villanueva,29.0,DET,PF,20.0,0.0,9.0,1.8,4.6,0.38,0.7,2.8,0.25,1.1,1.8,0.583,0.457,0.4,0.7,0.571,0.3,1.4,1.7,0.3,0.2,0.3,0.4,0.8,4.6,,2014,2013-14
315.0,MarShon Brooks,25.0,3TM,SG,35.0,0.0,9.0,1.6,3.6,0.456,0.4,0.7,0.52,1.3,2.9,0.44,0.508,0.9,1.3,0.727,0.3,1.3,1.5,0.7,0.4,0.1,0.7,0.6,4.5,,2014,2013-14
